# V100 sm70 final close window 2026-09-21, main 69d60c77, W=2048, fill5/warm3, 32k, 1GiB-RAM/8GiB-SSD f16
# one row per request-close; release_close_request_ms is the busyidle close_wall bracket for that tick (all 20 closes, not a >=1s tail)
# NOTE: the medians quoted in the entry are over ALL 20 rows per arm (one warmup close is 0), so baseline 1829.5 and batch 1098.5; the nonzero-only medians are 1831 and 1104. 1831/1098/1104 also occur as single-tick forward= / total= ms in unrelated V100 logs — do not grep these numbers, use this file's column.
arm	close_idx	tick	release_close_request_ms	pub_bounds_d2h	pub_draft_clone	pub_frame_d2h	pub_share_hold	pub_cold_transfer	ssd_mmap	release_cold_forget
baseline	0	242	1797	258	450	1001	9	52	0	10
baseline	1	443	1558	239	382	849	8	53	0	10
baseline	2	645	1831	263	437	837	114	126	166	11
baseline	3	846	1828	254	414	336	407	385	682	11
baseline	4	1047	1953	247	390	381	498	401	788	10
baseline	5	1261	1925	263	413	359	447	406	743	9
baseline	6	1462	1821	252	388	322	424	398	715	8
baseline	7	1663	1983	259	394	376	458	457	802	8
baseline	8	1864	1804	244	381	332	419	387	702	8
baseline	9	2065	1947	256	395	365	475	411	773	9
baseline	10	2266	1857	256	387	340	447	383	720	9
baseline	11	2480	1863	252	385	350	436	390	718	8
baseline	12	2681	1783	244	372	306	413	400	751	8
baseline	13	2882	1897	249	380	348	467	401	761	8
baseline	14	3084	1816	248	377	337	414	389	697	8
baseline	15	3285	1920	248	380	366	495	377	763	8
baseline	16	3487	1813	248	389	309	423	391	710	8
baseline	17	3701	2195	255	569	371	492	453	835	8
baseline	18	3877	1482	210	334	241	307	352	564	8
baseline	19	3886	0	0	0	0	0	0	0	1
batch	0	243	1104	290	423	317	2	26	0	12
batch	1	444	1014	278	397	285	1	25	0	11
batch	2	646	1365	295	417	407	96	93	151	12
batch	3	847	4435	976	1778	735	388	437	696	13
batch	4	1048	1188	124	149	85	426	373	722	12
batch	5	1262	1090	121	145	45	372	375	673	11
batch	6	1463	1317	138	331	77	356	351	631	11
batch	7	1664	1085	120	147	46	392	345	659	10
batch	8	1865	1090	118	141	46	385	365	671	9
batch	9	2066	1152	120	147	48	422	376	712	9
batch	10	2267	1141	116	143	42	399	399	714	10
batch	11	2481	1074	120	146	45	349	366	635	9
batch	12	2682	1075	116	143	42	356	377	699	9
batch	13	2883	1105	120	148	44	381	368	670	9
batch	14	3085	1069	120	141	42	358	361	645	9
batch	15	3286	1104	122	145	49	406	332	661	13
batch	16	3488	1093	122	147	42	370	359	652	9
batch	17	3702	1144	121	142	47	398	384	698	9
batch	18	3878	935	114	136	34	284	333	548	9
batch	19	3887	0	0	0	0	0	0	0	1
