# medians quoted in the doc use the standard statistics.median of these rows: an even-sample pair averages to .5 (e.g. bg0 ssd_mmap 1919.5, bg2 frame_d2h 41.5). All ms.
arm	tick	total	model	finalize	sample	ssd_mmap	cold_transfer	bounds_d2h	draft_clone	frame_d2h	share_hold	release_close	fwd_gpu	sync_streams
bg0	202	5383	157	1	5223	3261	3095	526	793	379	337	5201	5382	0
bg0	403	2376	161	1	2211	1806	1651	109	130	40	227	2185	2375	0
bg0	617	2566	164	1	2399	1947	1897	115	136	43	135	2357	2566	0
bg0	818	2329	158	1	2167	1748	1682	110	133	43	145	2144	2328	0
bg0	1019	2487	167	1	2317	1892	1851	111	133	40	126	2295	2487	0
bg0	1233	2779	161	1	2614	2080	1963	144	178	54	210	2591	2779	0
bg1	202	5299	161	1	5135	3736	689	250	359	252	0	5039	5299	0
bg1	403	2645	163	1	2478	1969	869	109	129	40	3	2456	2644	0
bg1	617	2956	175	1	2777	2249	983	111	133	41	0	2744	2955	0
bg1	818	2939	159	1	2776	2226	905	109	135	41	0	2754	2938	0
bg1	1019	2769	162	1	2603	2076	1016	111	135	39	0	2496	2768	0
bg1	1233	3044	166	1	2874	2311	1004	113	135	43	0	2812	3043	0
bg1	1435	3102	205	71	2824	2293	1070	119	141	41	2	2750	3101	0
bg1	1642	2979	164	1	2812	2267	937	112	135	39	5	2782	2979	0
bg2	202	7458	166	1	7287	5511	11	263	380	265	0	6478	7457	0
bg2	422	1790	167	1	1618	1171	8	113	135	43	0	1020	1788	0
bg2	624	1733	188	68	1474	1072	8	112	135	36	0	987	1731	0
bg2	831	1759	164	1	1590	1149	8	113	135	40	0	1052	1758	0
